,MarianMT,Unicamp_T5,NLLB_1.3b,num_tokens,best_ranked
5384,75,85,90,39,NLLB_1.3b
5385,85,60,75,23,MarianMT
5386,75,60,80,39,NLLB_1.3b
5387,85,60,95,21,NLLB_1.3b
5388,85,90,80,42,Unicamp_T5
5389,85,75,90,36,NLLB_1.3b
5390,80,70,90,30,NLLB_1.3b
5391,85,70,90,29,NLLB_1.3b
5392,85,70,90,33,NLLB_1.3b
5393,70,60,75,34,NLLB_1.3b
5394,70,45,80,33,NLLB_1.3b
5395,65,70,80,31,NLLB_1.3b
5396,75,60,85,40,NLLB_1.3b
5397,85,90,85,24,Unicamp_T5
5398,75,80,85,28,NLLB_1.3b
5399,85,90,95,35,NLLB_1.3b
5400,85,90,95,28,NLLB_1.3b
5401,75,50,60,29,MarianMT
5402,85,60,75,22,MarianMT
5403,75,85,70,29,Unicamp_T5
5404,75,60,65,27,MarianMT
5405,75,60,85,28,NLLB_1.3b
5406,85,90,95,26,NLLB_1.3b
5407,70,40,80,32,NLLB_1.3b
5408,75,60,80,21,NLLB_1.3b
5409,85,90,80,22,Unicamp_T5
5410,85,75,90,33,NLLB_1.3b
5411,85,70,90,43,NLLB_1.3b
5412,85,70,90,38,NLLB_1.3b
5413,90,60,85,38,MarianMT
5414,75,50,85,29,NLLB_1.3b
5415,80,65,70,26,MarianMT
5416,75,80,70,38,Unicamp_T5
5417,75,60,85,33,NLLB_1.3b
5418,70,60,80,37,NLLB_1.3b
5419,75,60,80,35,NLLB_1.3b
5420,85,70,90,31,NLLB_1.3b
5421,85,70,90,28,NLLB_1.3b
5422,75,85,80,32,Unicamp_T5
5423,85,75,90,31,NLLB_1.3b
5424,75,40,65,33,MarianMT
5425,85,70,90,32,NLLB_1.3b
5426,70,50,80,35,NLLB_1.3b
5427,70,50,60,29,MarianMT
5428,80,90,85,36,Unicamp_T5
5429,65,40,55,33,MarianMT
5430,70,80,90,44,NLLB_1.3b
5431,75,80,85,28,NLLB_1.3b
5432,85,75,90,31,NLLB_1.3b
5433,75,60,80,37,NLLB_1.3b
5434,85,70,90,33,NLLB_1.3b
5435,85,70,90,28,NLLB_1.3b
5436,85,50,70,35,MarianMT
5437,75,70,80,36,NLLB_1.3b
5438,85,70,80,27,MarianMT
5439,85,70,90,40,NLLB_1.3b
5440,85,80,70,21,MarianMT
5441,85,90,95,51,NLLB_1.3b
5442,90,60,80,29,MarianMT
5443,75,60,80,32,NLLB_1.3b
5444,60,20,40,28,MarianMT
5445,80,60,90,34,NLLB_1.3b
5446,65,75,80,25,NLLB_1.3b
5447,70,80,90,32,NLLB_1.3b
5448,85,70,60,37,MarianMT
5449,85,70,80,28,MarianMT
5450,70,60,80,43,NLLB_1.3b
5451,65,50,75,27,NLLB_1.3b
5452,75,60,90,28,NLLB_1.3b
5453,75,80,70,30,Unicamp_T5
5454,75,50,80,28,NLLB_1.3b
5455,85,75,90,33,NLLB_1.3b
5456,70,80,60,52,Unicamp_T5
5457,85,70,60,26,MarianMT
5458,85,75,90,36,NLLB_1.3b
5459,85,80,90,31,NLLB_1.3b
5460,85,90,95,32,NLLB_1.3b
5461,70,85,75,26,Unicamp_T5
5462,88,75,92,36,NLLB_1.3b
5463,75,60,65,26,MarianMT
5464,85,80,90,17,NLLB_1.3b
5465,75,60,80,35,NLLB_1.3b
5466,75,50,80,29,NLLB_1.3b
5467,75,40,85,34,NLLB_1.3b
5468,85,70,90,31,NLLB_1.3b
5469,85,70,90,32,NLLB_1.3b
5470,85,70,80,37,MarianMT
5471,75,80,85,32,NLLB_1.3b
5472,85,60,90,24,NLLB_1.3b
5473,95,90,85,21,MarianMT
5474,85,70,60,33,MarianMT
5475,85,70,90,22,NLLB_1.3b
5476,85,75,90,33,NLLB_1.3b
5477,85,70,75,43,MarianMT
5478,85,70,90,43,NLLB_1.3b
5479,85,40,90,37,NLLB_1.3b
5480,70,50,80,41,NLLB_1.3b
5481,85,70,90,27,NLLB_1.3b
5482,85,50,90,27,NLLB_1.3b
5483,85,45,90,19,NLLB_1.3b
5484,75,80,85,29,NLLB_1.3b
5485,75,60,50,28,MarianMT
5486,85,75,90,36,NLLB_1.3b
5487,85,70,90,27,NLLB_1.3b
5488,65,80,90,30,NLLB_1.3b
5489,85,70,80,40,MarianMT
5490,85,75,90,39,NLLB_1.3b
5491,90,80,75,48,MarianMT
5492,85,75,80,29,MarianMT
5493,85,90,95,35,NLLB_1.3b
5494,85,75,90,34,NLLB_1.3b
5495,85,90,95,43,NLLB_1.3b
5496,85,75,90,34,NLLB_1.3b
5497,90,60,80,26,MarianMT
5498,85,90,90,34,Unicamp_T5
5499,90,85,80,34,MarianMT
5500,50,60,75,32,NLLB_1.3b
5501,85,90,80,31,Unicamp_T5
5502,85,80,90,27,NLLB_1.3b
5503,85,90,80,35,Unicamp_T5
5504,75,60,80,38,NLLB_1.3b
5505,60,40,75,43,NLLB_1.3b
5506,60,80,40,19,Unicamp_T5
5507,70,60,85,27,NLLB_1.3b
5508,70,65,60,40,MarianMT
5509,80,60,90,33,NLLB_1.3b
5510,85,60,90,33,NLLB_1.3b
5511,70,50,60,37,MarianMT
5512,75,60,85,28,NLLB_1.3b
5513,75,60,85,19,NLLB_1.3b
5514,75,50,80,50,NLLB_1.3b
5515,85,80,90,24,NLLB_1.3b
5516,85,60,75,30,MarianMT
5517,75,60,80,33,NLLB_1.3b
5518,85,70,90,26,NLLB_1.3b
5519,75,60,85,40,NLLB_1.3b
5520,65,70,80,21,NLLB_1.3b
5521,70,65,80,21,NLLB_1.3b
5522,75,60,85,27,NLLB_1.3b
5523,85,70,90,36,NLLB_1.3b
5524,75,60,80,44,NLLB_1.3b
5525,75,60,85,35,NLLB_1.3b
5526,85,70,80,29,MarianMT
5527,75,60,80,36,NLLB_1.3b
5528,75,60,90,22,NLLB_1.3b
5529,70,65,75,35,NLLB_1.3b
5530,85,75,90,38,NLLB_1.3b
5531,70,30,60,22,MarianMT
5532,85,75,90,28,NLLB_1.3b
5533,85,70,90,32,NLLB_1.3b
5534,85,70,90,22,NLLB_1.3b
5535,75,50,85,23,NLLB_1.3b
5536,70,50,80,29,NLLB_1.3b
5537,85,70,90,30,NLLB_1.3b
5538,75,60,80,38,NLLB_1.3b
5539,85,60,90,27,NLLB_1.3b
5540,90,85,95,33,NLLB_1.3b
5541,65,40,75,34,NLLB_1.3b
5542,85,80,90,28,NLLB_1.3b
5543,85,80,90,30,NLLB_1.3b
5544,70,55,80,32,NLLB_1.3b
5545,85,80,90,18,NLLB_1.3b
5546,70,60,75,24,NLLB_1.3b
5547,75,50,80,24,NLLB_1.3b
5548,65,80,90,32,NLLB_1.3b
5549,70,85,60,34,Unicamp_T5
5550,75,80,85,35,NLLB_1.3b
5551,75,65,80,37,NLLB_1.3b
5552,85,70,90,26,NLLB_1.3b
5553,85,70,90,27,NLLB_1.3b
5554,75,60,50,27,MarianMT
5555,85,75,90,32,NLLB_1.3b
5556,75,55,85,34,NLLB_1.3b
5557,75,70,80,40,NLLB_1.3b
5558,70,50,60,33,MarianMT
5559,85,70,90,37,NLLB_1.3b
5560,85,70,90,47,NLLB_1.3b
5561,65,80,40,27,Unicamp_T5
5562,80,70,60,34,MarianMT
5563,85,90,75,35,Unicamp_T5
5564,85,80,90,33,NLLB_1.3b
5565,85,70,90,34,NLLB_1.3b
5566,70,55,40,29,MarianMT
5567,85,70,80,26,MarianMT
5568,70,40,80,28,NLLB_1.3b
5569,85,80,90,33,NLLB_1.3b
5570,70,50,80,22,NLLB_1.3b
5571,70,60,80,36,NLLB_1.3b
5572,75,60,85,31,NLLB_1.3b
5573,85,70,90,29,NLLB_1.3b
5574,85,70,90,29,NLLB_1.3b
5575,85,75,90,28,NLLB_1.3b
5576,89,92,85,25,Unicamp_T5
5577,75,60,85,34,NLLB_1.3b
5578,80,70,85,39,NLLB_1.3b
5579,75,80,70,31,Unicamp_T5
5580,75,80,90,24,NLLB_1.3b
5581,85,70,90,27,NLLB_1.3b
5582,85,70,90,35,NLLB_1.3b
5583,70,40,80,26,NLLB_1.3b
5584,70,60,80,35,NLLB_1.3b
5585,85,80,90,28,NLLB_1.3b
5586,70,40,50,31,MarianMT
5587,75,60,80,32,NLLB_1.3b
5588,75,50,70,29,MarianMT
5589,85,75,90,33,NLLB_1.3b
5590,70,80,50,30,Unicamp_T5
5591,75,60,85,35,NLLB_1.3b
5592,85,72,90,26,NLLB_1.3b
5593,85,80,90,23,NLLB_1.3b
5594,65,75,80,31,NLLB_1.3b
5595,75,50,60,21,MarianMT
5596,65,40,75,21,NLLB_1.3b
5597,80,50,85,25,NLLB_1.3b
5598,85,80,75,25,MarianMT
5599,75,60,80,41,NLLB_1.3b
5600,90,85,80,23,MarianMT
5601,70,80,60,39,Unicamp_T5
5602,72,50,68,28,MarianMT
5603,70,60,80,32,NLLB_1.3b
5604,85,80,75,32,MarianMT
5605,70,30,80,46,NLLB_1.3b
5606,85,70,90,33,NLLB_1.3b
5607,70,50,80,24,NLLB_1.3b
5608,90,80,85,34,MarianMT
5609,80,50,90,38,NLLB_1.3b
5610,75,60,85,29,NLLB_1.3b
5611,85,70,90,29,NLLB_1.3b
5612,85,80,90,34,NLLB_1.3b
5613,70,60,75,25,NLLB_1.3b
5614,70,50,65,28,MarianMT
5615,90,95,100,36,NLLB_1.3b
5616,80,70,90,43,NLLB_1.3b
5617,80,60,90,57,NLLB_1.3b
5618,85,90,95,26,NLLB_1.3b
5619,75,65,80,26,NLLB_1.3b
5620,85,60,90,19,NLLB_1.3b
5621,85,90,95,33,NLLB_1.3b
5622,75,40,85,33,NLLB_1.3b
5623,75,50,80,33,NLLB_1.3b
5624,72,58,82,34,NLLB_1.3b
5625,70,80,60,30,Unicamp_T5
5626,70,80,85,18,NLLB_1.3b
5627,75,60,85,30,NLLB_1.3b
5628,75,60,85,35,NLLB_1.3b
5629,75,60,85,22,NLLB_1.3b
5630,75,80,85,35,NLLB_1.3b
5631,65,75,55,34,Unicamp_T5
5632,70,50,60,24,MarianMT
5633,65,45,70,40,NLLB_1.3b
5634,80,60,70,25,MarianMT
5635,85,70,80,32,MarianMT
5636,70,60,80,32,NLLB_1.3b
5637,75,60,85,31,NLLB_1.3b
5638,75,85,80,34,Unicamp_T5
5639,85,70,90,26,NLLB_1.3b
5640,82,75,88,31,NLLB_1.3b
5641,80,60,70,25,MarianMT
5642,85,70,90,33,NLLB_1.3b
5643,65,70,60,32,Unicamp_T5
5644,65,75,80,41,NLLB_1.3b
5645,95,90,90,28,MarianMT
5646,65,45,80,29,NLLB_1.3b
5647,85,75,90,26,NLLB_1.3b
5648,75,60,80,38,NLLB_1.3b
5649,95,80,90,33,MarianMT
5650,85,90,80,28,Unicamp_T5
5651,85,80,75,32,MarianMT
5652,70,60,80,28,NLLB_1.3b
5653,85,70,90,27,NLLB_1.3b
5654,70,40,85,28,NLLB_1.3b
5655,65,40,75,30,NLLB_1.3b
5656,65,70,75,29,NLLB_1.3b
5657,85,90,80,30,Unicamp_T5
5658,85,70,90,18,NLLB_1.3b
5659,75,50,85,44,NLLB_1.3b
5660,85,90,80,33,Unicamp_T5
5661,85,70,90,29,NLLB_1.3b
5662,75,60,85,23,NLLB_1.3b
5663,85,70,90,35,NLLB_1.3b
5664,75,40,90,31,NLLB_1.3b
5665,85,90,80,37,Unicamp_T5
5666,85,75,90,33,NLLB_1.3b
5667,65,50,70,30,NLLB_1.3b
5668,85,80,90,24,NLLB_1.3b
5669,85,80,90,36,NLLB_1.3b
5670,85,60,90,27,NLLB_1.3b
5671,85,20,90,33,NLLB_1.3b
5672,85,70,90,31,NLLB_1.3b
5673,75,60,80,28,NLLB_1.3b
5674,75,60,80,34,NLLB_1.3b
5675,85,70,90,32,NLLB_1.3b
5676,85,70,90,31,NLLB_1.3b
5677,70,85,20,21,Unicamp_T5
5678,85,70,80,28,MarianMT
5679,75,60,80,18,NLLB_1.3b
5680,85,75,90,20,NLLB_1.3b
5681,85,70,90,45,NLLB_1.3b
5682,85,70,90,31,NLLB_1.3b
5683,85,90,80,42,Unicamp_T5
5684,85,90,95,26,NLLB_1.3b
5685,80,70,90,32,NLLB_1.3b
5686,70,40,85,40,NLLB_1.3b
5687,75,60,75,26,MarianMT
5688,75,60,85,33,NLLB_1.3b
5689,85,75,60,29,MarianMT
5690,75,50,80,21,NLLB_1.3b
5691,85,80,90,33,NLLB_1.3b
5692,85,90,75,27,Unicamp_T5
5693,87,90,92,37,NLLB_1.3b
5694,75,60,80,36,NLLB_1.3b
5695,70,60,80,36,NLLB_1.3b
5696,85,70,90,61,NLLB_1.3b
5697,85,75,70,27,MarianMT
5698,92,85,90,31,MarianMT
5699,85,80,90,28,NLLB_1.3b
5700,82,75,68,28,MarianMT
5701,65,55,75,34,NLLB_1.3b
5702,85,80,75,26,MarianMT
5703,75,60,40,25,MarianMT
5704,90,65,95,23,NLLB_1.3b
5705,65,70,80,31,NLLB_1.3b
5706,85,60,90,26,NLLB_1.3b
5707,75,60,80,24,NLLB_1.3b
5708,85,75,80,35,MarianMT
5709,75,60,80,30,NLLB_1.3b
5710,65,40,80,27,NLLB_1.3b
5711,85,70,90,31,NLLB_1.3b
5712,70,80,85,50,NLLB_1.3b
5713,70,60,80,32,NLLB_1.3b
5714,85,80,90,29,NLLB_1.3b
5715,85,90,75,17,Unicamp_T5
5716,82,75,88,28,NLLB_1.3b
5717,85,60,90,20,NLLB_1.3b
5718,85,70,90,51,NLLB_1.3b
5719,85,60,90,30,NLLB_1.3b
5720,85,75,90,25,NLLB_1.3b
5721,70,80,65,31,Unicamp_T5
5722,85,75,90,34,NLLB_1.3b
5723,85,70,90,28,NLLB_1.3b
5724,75,60,50,34,MarianMT
5725,85,60,90,55,NLLB_1.3b
5726,75,85,90,38,NLLB_1.3b
5727,85,70,90,31,NLLB_1.3b
5728,85,70,90,36,NLLB_1.3b
5729,75,60,85,27,NLLB_1.3b
5730,85,70,90,33,NLLB_1.3b
5731,65,70,50,24,Unicamp_T5
5732,85,70,90,23,NLLB_1.3b
5733,85,70,50,28,MarianMT
5734,70,60,80,33,NLLB_1.3b
5735,75,50,90,33,NLLB_1.3b
5736,90,95,90,18,Unicamp_T5
5737,70,60,80,69,NLLB_1.3b
5738,85,90,80,30,Unicamp_T5
5739,75,80,85,45,NLLB_1.3b
5740,75,80,85,27,NLLB_1.3b
5741,90,75,85,28,MarianMT
5742,90,75,95,48,NLLB_1.3b
5743,90,70,95,32,NLLB_1.3b
5744,85,70,90,35,NLLB_1.3b
5745,70,50,80,33,NLLB_1.3b
5746,85,70,90,30,NLLB_1.3b
5747,85,60,90,38,NLLB_1.3b
5748,85,90,80,26,Unicamp_T5
5749,85,60,90,38,NLLB_1.3b
5750,70,45,60,30,MarianMT
5751,70,65,80,22,NLLB_1.3b
5752,75,60,80,24,NLLB_1.3b
5753,80,90,70,37,Unicamp_T5
5754,75,60,80,32,NLLB_1.3b
5755,85,75,60,31,MarianMT
5756,85,70,90,38,NLLB_1.3b
5757,85,70,90,22,NLLB_1.3b
5758,85,60,90,34,NLLB_1.3b
5759,70,60,80,20,NLLB_1.3b
5760,85,60,90,30,NLLB_1.3b
5761,65,50,70,42,NLLB_1.3b
5762,85,80,75,23,MarianMT
5763,85,70,90,37,NLLB_1.3b
5764,85,20,90,27,NLLB_1.3b
5765,70,80,90,19,NLLB_1.3b
5766,75,60,85,40,NLLB_1.3b
5767,85,75,90,34,NLLB_1.3b
5768,75,50,80,31,NLLB_1.3b
5769,75,40,85,33,NLLB_1.3b
5770,75,65,80,20,NLLB_1.3b
5771,75,60,85,31,NLLB_1.3b
5772,85,80,90,39,NLLB_1.3b
5773,85,90,80,29,Unicamp_T5
5774,85,75,90,35,NLLB_1.3b
5775,85,65,78,35,MarianMT
5776,85,60,75,31,MarianMT
5777,85,70,80,31,MarianMT
5778,85,70,90,45,NLLB_1.3b
5779,92,85,96,42,NLLB_1.3b
5780,65,50,70,32,NLLB_1.3b
5781,85,70,90,29,NLLB_1.3b
5782,70,60,80,40,NLLB_1.3b
5783,85,90,75,45,Unicamp_T5
5784,70,60,80,25,NLLB_1.3b
5785,70,60,80,38,NLLB_1.3b
5786,85,70,90,38,NLLB_1.3b
5787,90,95,85,32,Unicamp_T5
5788,75,60,80,27,NLLB_1.3b
5789,75,70,80,24,NLLB_1.3b
5790,85,70,90,31,NLLB_1.3b
5791,85,70,90,28,NLLB_1.3b
5792,75,70,80,28,NLLB_1.3b
5793,75,60,90,21,NLLB_1.3b
5794,85,70,80,24,MarianMT
5795,60,70,80,26,NLLB_1.3b
5796,75,60,80,39,NLLB_1.3b
5797,70,85,75,26,Unicamp_T5
5798,65,60,75,24,NLLB_1.3b
5799,85,70,60,58,MarianMT
5800,75,50,90,26,NLLB_1.3b
5801,85,80,90,45,NLLB_1.3b
5802,85,70,90,22,NLLB_1.3b
5803,85,75,90,28,NLLB_1.3b
5804,85,70,90,31,NLLB_1.3b
5805,70,50,80,30,NLLB_1.3b
5806,85,70,90,33,NLLB_1.3b
5807,85,90,95,35,NLLB_1.3b
5808,75,60,80,34,NLLB_1.3b
5809,85,90,80,26,Unicamp_T5
5810,60,20,75,22,NLLB_1.3b
5811,65,50,80,26,NLLB_1.3b
5812,85,75,90,31,NLLB_1.3b
5813,75,60,80,39,NLLB_1.3b
5814,85,70,90,36,NLLB_1.3b
5815,85,70,90,31,NLLB_1.3b
5816,85,90,60,20,Unicamp_T5
5817,85,70,90,42,NLLB_1.3b
5818,85,70,90,28,NLLB_1.3b
5819,85,70,90,27,NLLB_1.3b
5820,85,75,90,27,NLLB_1.3b
5821,75,90,80,27,Unicamp_T5
5822,85,70,90,34,NLLB_1.3b
5823,85,80,75,45,MarianMT
5824,75,60,85,23,NLLB_1.3b
5825,75,80,90,34,NLLB_1.3b
5826,85,70,90,32,NLLB_1.3b
5827,85,80,90,40,NLLB_1.3b
5828,75,85,60,28,Unicamp_T5
5829,70,60,80,37,NLLB_1.3b
5830,90,85,95,28,NLLB_1.3b
5831,85,90,75,38,Unicamp_T5
5832,85,70,90,41,NLLB_1.3b
5833,70,80,90,30,NLLB_1.3b
5834,85,75,90,31,NLLB_1.3b
5835,85,90,80,38,Unicamp_T5
5836,85,60,90,27,NLLB_1.3b
5837,75,50,85,29,NLLB_1.3b
5838,85,70,90,53,NLLB_1.3b
5839,85,70,90,50,NLLB_1.3b
5840,85,70,90,33,NLLB_1.3b
5841,70,60,80,24,NLLB_1.3b
5842,85,70,90,36,NLLB_1.3b
5843,85,75,90,37,NLLB_1.3b
5844,85,70,90,21,NLLB_1.3b
5845,75,50,90,37,NLLB_1.3b
5846,75,80,90,25,NLLB_1.3b
5847,75,60,85,33,NLLB_1.3b
5848,85,75,90,44,NLLB_1.3b
5849,70,80,60,34,Unicamp_T5
5850,85,75,80,32,MarianMT
5851,75,70,85,20,NLLB_1.3b
5852,85,70,90,29,NLLB_1.3b
5853,75,60,80,35,NLLB_1.3b
5854,75,60,80,28,NLLB_1.3b
5855,70,55,80,24,NLLB_1.3b
5856,65,40,80,37,NLLB_1.3b
5857,75,80,90,34,NLLB_1.3b
5858,65,40,80,27,NLLB_1.3b
5859,65,75,55,35,Unicamp_T5
5860,85,70,95,40,NLLB_1.3b
5861,70,85,65,27,Unicamp_T5
5862,85,80,70,32,MarianMT
5863,85,70,95,40,NLLB_1.3b
5864,85,75,60,27,MarianMT
5865,85,80,90,26,NLLB_1.3b
5866,85,75,90,31,NLLB_1.3b
5867,85,90,80,22,Unicamp_T5
5868,75,60,85,42,NLLB_1.3b
5869,85,70,90,24,NLLB_1.3b
5870,85,70,90,43,NLLB_1.3b
5871,85,70,90,29,NLLB_1.3b
5872,85,75,90,32,NLLB_1.3b
5873,85,70,90,42,NLLB_1.3b
5874,85,80,90,30,NLLB_1.3b
5875,85,70,90,32,NLLB_1.3b
5876,75,80,70,26,Unicamp_T5
5877,75,60,90,21,NLLB_1.3b
5878,80,60,90,42,NLLB_1.3b
5879,80,85,90,31,NLLB_1.3b
5880,85,70,90,30,NLLB_1.3b
5881,75,60,80,28,NLLB_1.3b
5882,85,70,90,42,NLLB_1.3b
5883,70,50,60,28,MarianMT
5884,85,80,90,22,NLLB_1.3b
5885,70,60,50,21,MarianMT
5886,85,60,95,39,NLLB_1.3b
5887,85,75,90,23,NLLB_1.3b
5888,70,30,80,36,NLLB_1.3b
5889,85,90,80,27,Unicamp_T5
5890,70,80,90,20,NLLB_1.3b
5891,90,80,95,28,NLLB_1.3b
5892,85,70,90,36,NLLB_1.3b
5893,75,60,65,24,MarianMT
5894,65,40,80,31,NLLB_1.3b
5895,85,70,90,37,NLLB_1.3b
5896,85,70,90,35,NLLB_1.3b
5897,75,60,85,29,NLLB_1.3b
5898,75,60,85,23,NLLB_1.3b
5899,75,60,80,28,NLLB_1.3b
5900,80,65,85,37,NLLB_1.3b
5901,75,60,80,30,NLLB_1.3b
5902,85,90,70,34,Unicamp_T5
5903,85,70,90,23,NLLB_1.3b
5904,85,70,90,23,NLLB_1.3b
5905,90,80,95,32,NLLB_1.3b
5906,85,70,90,25,NLLB_1.3b
5907,75,80,90,36,NLLB_1.3b
5908,75,50,85,22,NLLB_1.3b
5909,85,80,90,45,NLLB_1.3b
5910,70,50,85,53,NLLB_1.3b
5911,85,70,60,35,MarianMT
5912,85,70,90,42,NLLB_1.3b
5913,85,75,80,36,MarianMT
5914,85,80,65,31,MarianMT
5915,85,90,90,23,Unicamp_T5
5916,85,70,90,35,NLLB_1.3b
5917,85,70,90,38,NLLB_1.3b
5918,85,75,90,27,NLLB_1.3b
5919,85,50,90,28,NLLB_1.3b
5920,85,60,90,32,NLLB_1.3b
5921,75,50,60,27,MarianMT
5922,85,72,90,28,NLLB_1.3b
5923,75,70,80,30,NLLB_1.3b
5924,75,50,80,33,NLLB_1.3b
5925,85,70,80,35,MarianMT
5926,70,30,80,20,NLLB_1.3b
5927,75,40,85,27,NLLB_1.3b
5928,85,70,90,45,NLLB_1.3b
5929,75,60,80,27,NLLB_1.3b
5930,70,80,90,25,NLLB_1.3b
5931,85,70,60,20,MarianMT
5932,85,70,80,23,MarianMT
5933,85,75,70,27,MarianMT
5934,65,75,80,21,NLLB_1.3b
5935,85,70,90,29,NLLB_1.3b
5936,85,70,90,39,NLLB_1.3b
5937,65,70,75,20,NLLB_1.3b
5938,70,60,80,34,NLLB_1.3b
5939,85,90,80,39,Unicamp_T5
5940,70,40,80,35,NLLB_1.3b
5941,85,70,90,39,NLLB_1.3b
5942,75,80,70,27,Unicamp_T5
5943,85,70,90,37,NLLB_1.3b
5944,75,80,60,23,Unicamp_T5
5945,85,90,95,41,NLLB_1.3b
5946,90,75,95,39,NLLB_1.3b
5947,80,50,90,42,NLLB_1.3b
5948,70,50,80,23,NLLB_1.3b
5949,75,50,80,22,NLLB_1.3b
5950,85,70,90,40,NLLB_1.3b
5951,85,70,90,22,NLLB_1.3b
5952,75,60,85,40,NLLB_1.3b
5953,85,75,90,26,NLLB_1.3b
5954,70,50,80,27,NLLB_1.3b
5955,85,90,95,27,NLLB_1.3b
5956,70,40,80,37,NLLB_1.3b
5957,85,75,90,30,NLLB_1.3b
5958,60,50,75,44,NLLB_1.3b
5959,85,70,90,37,NLLB_1.3b
5960,75,60,85,30,NLLB_1.3b
5961,85,70,60,18,MarianMT
5962,70,40,80,36,NLLB_1.3b
5963,85,70,90,33,NLLB_1.3b
5964,75,60,50,23,MarianMT
5965,70,80,75,26,Unicamp_T5
5966,85,70,90,36,NLLB_1.3b
5967,85,80,75,29,MarianMT
5968,75,60,85,34,NLLB_1.3b
5969,95,75,90,27,MarianMT
5970,90,85,95,22,NLLB_1.3b
5971,85,70,90,29,NLLB_1.3b
5972,85,70,90,41,NLLB_1.3b
5973,85,70,90,33,NLLB_1.3b
5974,85,75,90,37,NLLB_1.3b
5975,70,60,75,38,NLLB_1.3b
5976,85,75,90,30,NLLB_1.3b
5977,75,70,80,31,NLLB_1.3b
5978,65,70,75,27,NLLB_1.3b
5979,85,80,90,39,NLLB_1.3b
5980,80,70,90,22,NLLB_1.3b
5981,75,80,85,29,NLLB_1.3b
5982,85,70,90,25,NLLB_1.3b
5983,75,50,80,29,NLLB_1.3b
5984,85,75,90,39,NLLB_1.3b
5985,70,40,90,38,NLLB_1.3b
5986,75,60,90,31,NLLB_1.3b
5987,75,80,90,30,NLLB_1.3b
5988,85,70,90,28,NLLB_1.3b
5989,85,90,75,36,Unicamp_T5
5990,75,50,90,38,NLLB_1.3b
5991,90,85,90,22,MarianMT
5992,70,60,50,23,MarianMT
5993,85,50,90,26,NLLB_1.3b
5994,70,60,75,34,NLLB_1.3b
5995,75,60,85,34,NLLB_1.3b
5996,75,60,85,36,NLLB_1.3b
5997,65,40,80,26,NLLB_1.3b
5998,85,90,75,35,Unicamp_T5
5999,70,80,90,31,NLLB_1.3b
6000,75,80,85,35,NLLB_1.3b
6001,75,60,80,30,NLLB_1.3b
6002,85,80,90,34,NLLB_1.3b
6003,75,40,90,29,NLLB_1.3b
6004,85,70,90,23,NLLB_1.3b
6005,85,60,90,28,NLLB_1.3b
6006,70,80,60,20,Unicamp_T5
6007,85,70,75,29,MarianMT
6008,90,85,95,23,NLLB_1.3b
6009,85,60,90,36,NLLB_1.3b
6010,85,70,90,34,NLLB_1.3b
6011,90,80,85,48,MarianMT
6012,85,80,90,29,NLLB_1.3b
6013,65,40,75,35,NLLB_1.3b
6014,85,70,90,33,NLLB_1.3b
6015,75,50,80,19,NLLB_1.3b
6016,70,60,80,33,NLLB_1.3b
6017,80,85,90,30,NLLB_1.3b
6018,85,70,90,25,NLLB_1.3b
6019,75,50,80,30,NLLB_1.3b
6020,85,70,90,32,NLLB_1.3b
6021,82,75,88,25,NLLB_1.3b
6022,65,60,80,28,NLLB_1.3b
6023,75,60,85,27,NLLB_1.3b
6024,75,60,80,23,NLLB_1.3b
6025,75,40,60,38,MarianMT
6026,85,60,90,29,NLLB_1.3b
6027,85,70,90,23,NLLB_1.3b
6028,85,60,70,22,MarianMT
6029,70,50,60,28,MarianMT
6030,85,70,90,34,NLLB_1.3b
6031,75,80,60,30,Unicamp_T5
6032,65,50,70,25,NLLB_1.3b
6033,85,70,90,26,NLLB_1.3b
6034,70,80,75,34,Unicamp_T5
6035,85,60,90,21,NLLB_1.3b
6036,60,40,55,28,MarianMT
6037,85,90,80,34,Unicamp_T5
6038,85,75,90,24,NLLB_1.3b
6039,65,60,75,32,NLLB_1.3b
6040,85,70,60,32,MarianMT
6041,75,70,80,21,NLLB_1.3b
6042,85,60,90,31,NLLB_1.3b
6043,90,85,95,23,NLLB_1.3b
6044,85,75,80,27,MarianMT
6045,85,75,90,26,NLLB_1.3b
6046,80,70,90,33,NLLB_1.3b
6047,95,80,90,30,MarianMT
6048,85,70,90,31,NLLB_1.3b
6049,85,75,80,31,MarianMT
6050,85,90,80,23,Unicamp_T5
6051,70,80,90,31,NLLB_1.3b
6052,75,80,70,29,Unicamp_T5
6053,75,60,80,29,NLLB_1.3b
6054,65,70,80,21,NLLB_1.3b
6055,75,60,85,34,NLLB_1.3b
6056,70,50,80,32,NLLB_1.3b
6057,70,80,60,30,Unicamp_T5
6058,85,70,90,26,NLLB_1.3b
6059,85,80,90,35,NLLB_1.3b
6060,65,50,75,29,NLLB_1.3b
6061,85,70,90,35,NLLB_1.3b
6062,65,70,80,40,NLLB_1.3b
6063,85,75,90,34,NLLB_1.3b
6064,85,70,90,25,NLLB_1.3b
6065,70,50,80,21,NLLB_1.3b
6066,85,90,95,43,NLLB_1.3b
6067,85,90,75,33,Unicamp_T5
6068,85,60,90,47,NLLB_1.3b
6069,70,50,80,38,NLLB_1.3b
6070,85,70,90,33,NLLB_1.3b
6071,85,70,90,61,NLLB_1.3b
